epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2414,2.29663,4.77761,2.37152,0.00114,0.34286,0.00281,0.0006,3.04975,4.99877,3.04632,0.00016,0.00016,0.00016
2,95.448,1.50643,3.43119,1.65989,0.00086,0.25714,0.01052,0.00255,3.24192,4.9297,2.93182,0.00030634,0.00030634,0.00030634
3,141.173,0.88959,2.41997,1.17276,0.00314,0.94286,0.15083,0.04046,2.20459,4.17614,2.16439,0.00041704,0.00041704,0.00041704
4,186.81,0.75336,1.91629,1.02213,0.00526,0.91429,0.50597,0.17469,1.87346,3.29961,1.80574,0.0004921,0.0004921,0.0004921
5,232.281,0.59951,1.5257,0.92438,0.96774,0.85717,0.91997,0.71242,1.29261,2.22728,1.20229,0.00053152,0.00053152,0.00053152
6,277.615,0.55268,1.35393,0.88736,0.99615,0.88571,0.93458,0.79587,0.91649,1.63995,0.97182,0.0005353,0.0005353,0.0005353
7,322.778,0.47263,1.22457,0.86053,0.97048,0.93929,0.94365,0.81069,0.74426,1.27789,0.85933,0.00050344,0.00050344,0.00050344
8,367.564,0.44558,1.1458,0.84836,0.99741,0.94286,0.94549,0.85725,0.56429,1.06399,0.81097,0.00043594,0.00043594,0.00043594
9,412.574,0.46833,1.14675,0.85601,0.99685,0.94286,0.9734,0.91691,0.52138,1.03418,0.80437,0.0003328,0.0003328,0.0003328
10,457.968,0.42615,1.11691,0.83398,0.99768,0.94286,0.9836,0.89943,0.52007,0.98823,0.79786,0.00019402,0.00019402,0.00019402
